,zipf_priority,alpha
0,0.3133359668655328,1.1
1,0.146176397260313,1.1
2,0.09357867009518625,1.1
3,0.0681937006139313,1.1
4,0.05335108355085555,1.1
5,0.04365599325147381,1.1
6,0.03684702296654621,1.1
7,0.03181348624389087,1.1
8,0.027947533710809956,1.1
9,0.024889160543592456,1.1
10,0.022411880357653294,1.1
11,0.020366240990966643,1.1
12,0.018649730549601846,1.1
13,0.017189744033851033,1.1
14,0.015933451549686787,1.1
15,0.01484151612067628,1.1
16,0.013884058521033932,1.1
17,0.013037985492136393,1.1
18,0.012285173322847731,1.1
19,0.011611203959413969,1.1
0,0.6265023354055452,2.0
1,0.1566255838513863,2.0
2,0.06961137060061613,2.0
3,0.03915639596284658,2.0
4,0.02506009341622181,2.0
5,0.017402842650154033,2.0
6,0.012785761947051942,2.0
7,0.009789098990711644,2.0
8,0.007734596733401792,2.0
9,0.006265023354055452,2.0
10,0.005177705251285498,2.0
11,0.004350710662538508,2.0
12,0.0037071144106836994,2.0
13,0.0031964404867629854,2.0
14,0.0027844548240246454,2.0
15,0.002447274747677911,2.0
16,0.002167828150192198,2.0
17,0.001933649183350448,2.0
18,0.0017354635329793497,2.0
19,0.001566255838513863,2.0
0,0.9239713944748467,4.0
1,0.057748212154677916,4.0
2,0.011407054252775883,4.0
3,0.0036092632596673698,4.0
4,0.0014783542311597546,4.0
5,0.0007129408907984927,4.0
6,0.0003848277361411273,4.0
7,0.0002255789537292106,4.0
8,0.00014082783028118376,4.0
9,9.239713944748466e-05,4.0
10,6.310848947987477e-05,4.0
11,4.4558805674905794e-05,4.0
12,3.235080685112029e-05,4.0
13,2.4051733508820456e-05,4.0
14,1.8251286804441414e-05,4.0
15,1.4098684608075663e-05,4.0
16,1.1062743435481455e-05,4.0
17,8.801739392573985e-06,4.0
18,7.089965504215335e-06,4.0
19,5.7748212154677915e-06,4.0
0,0.9643886543483556,5.0
1,0.030137145448386114,5.0
2,0.003968677589910929,5.0
3,0.000941785795262066,5.0
4,0.0003086043693914738,5.0
5,0.00012402117468471652,5.0
6,5.7380178160787504e-05,5.0
7,2.9430806101939564e-05,5.0
8,1.6332006542843326e-05,5.0
9,9.643886543483557e-06,5.0
10,5.988094792012192e-06,5.0
11,3.875661708897391e-06,5.0
12,2.5973790358244178e-06,5.0
13,1.7931305675246095e-06,5.0
14,1.2699768287714972e-06,5.0
15,9.197126906856114e-07,5.0
16,6.792153395365558e-07,5.0
17,5.103752044638539e-07,5.0
18,3.8947903712588055e-07,5.0
19,3.0137145448386115e-07,5.0
0,0.9643886543483556,5.0
1,0.030137145448386114,5.0
2,0.003968677589910929,5.0
3,0.000941785795262066,5.0
4,0.0003086043693914738,5.0
5,0.00012402117468471652,5.0
6,5.7380178160787504e-05,5.0
7,2.9430806101939564e-05,5.0
8,1.6332006542843326e-05,5.0
9,9.643886543483557e-06,5.0
10,5.988094792012192e-06,5.0
11,3.875661708897391e-06,5.0
12,2.5973790358244178e-06,5.0
13,1.7931305675246095e-06,5.0
14,1.2699768287714972e-06,5.0
15,9.197126906856114e-07,5.0
16,6.792153395365558e-07,5.0
17,5.103752044638539e-07,5.0
18,3.8947903712588055e-07,5.0
19,3.0137145448386115e-07,5.0
